project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
DeTrustLabs/escrow-protocol,https://github.com/DeTrustLabs/escrow-protocol,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
zxfae/Qubex-Protocol,https://github.com/zxfae/Qubex-Protocol,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Jack0thy/Constellation_Protocol,https://github.com/Jack0thy/Constellation_Protocol,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
prp101/develo-dao,https://github.com/prp101/develo-dao,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
dickhery/ICP_Ad_Network,https://github.com/dickhery/ICP_Ad_Network,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Nimakra/Climatio,https://github.com/Nimakra/Climatio,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Miabritacreations/Changa_DAO,https://github.com/Miabritacreations/Changa_DAO,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
PostedApp/wchl,https://github.com/PostedApp/wchl,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
NMsby/rotatechain,https://github.com/NMsby/rotatechain.git,3,1,1,5,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-08: We restructured the frontend build pipeline by consolidating to a single root tsconfig and Vite‑specific config, migrating to ESLint v9 flat config (adding the missing parser, fixing JSX handling, and excluding problematic declaration files), and adding new npm scripts along with upgraded TypeScript/Vite settings (ES2022 target, path aliases) to eliminate linting and type errors and streamline development. A comprehensive theming system was introduced—including a CSS‑variable palette, dark‑mode support, Tailwind/shadcn‑ui integration, accordion animation utilities, and a full Tailwind pipeline with PostCSS, Autoprefixer, global variables, and typography—while duplicate files were removed and core entity type definitions were added. New UI features such as a ProfilePage component and placeholder canister client definitions for future ICP integration were built, documentation was refreshed, and overall code quality, developer productivity, and readiness for upcoming backend features were significantly improved.",dfx.json file found - indicates ICP/Dfinity project structure
tonybanks90/OmaxPro.Bitcoin,https://github.com/tonybanks90/OmaxPro.Bitcoin,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
onicai/funnAI,https://github.com/onicai/funnAI,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Mercatura01/TURNX,https://github.com/Mercatura01/TURNX,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
jaibhedia/stakecommerce,https://github.com/jaibhedia/stakecommerce,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
ICPWorkOfficial/backend-canisters,https://github.com/ICPWorkOfficial/backend-canisters,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
AthiestAtom/LCBAD,https://github.com/AthiestAtom/LCBAD,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
